,text,gpt-neo-2.7B,gpt-neo-1.3B,gpt-neo-125M
0,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:",0.3861464560031891,0.27490195631980896,0.49623605608940125
1,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:",0.35448434948921204,0.227601557970047,0.4529228210449219
2,"Q: Which is more likely?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:",1.1043100357055664,1.4157536029815674,0.9171116352081299
3,"Q: Which is more likely?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:",1.1776738166809082,1.4628782272338867,0.9320434331893921
4,"Question: Which is more likely?
A. Michael is an accountant.
B. Michael is an accountant and is careful.
Answer:",1.01223886013031,0.8029105067253113,0.0644901841878891
5,"Question: Which is more likely?
A. Michael is an accountant.
B. Michael is an accountant and is boring.
Answer:",1.0056078433990479,0.7904833555221558,0.15978913009166718
6,"Question: Which is more likely?
A. Michael is an accountant and is careful.
B. Michael is an accountant.
Answer:",0.4345184564590454,0.5894994139671326,2.618129014968872
7,"Question: Which is more likely?
A. Michael is an accountant and is boring.
B. Michael is an accountant.
Answer:",0.43577736616134644,0.5924588441848755,2.1047213077545166
8,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and Michael is careful.
A:",0.35864120721817017,0.2785463035106659,0.43006816506385803
9,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is an accountant and Michael is boring.
A:",0.3369908928871155,0.22420556843280792,0.3882412910461426
10,"Q: Which is more likely?
1. Michael is an accountant and Michael is careful.
2. Michael is an accountant.
A:",1.075779676437378,1.369495153427124,0.9488869905471802
11,"Q: Which is more likely?
1. Michael is an accountant and Michael is boring.
2. Michael is an accountant.
A:",1.0742065906524658,1.4055421352386475,0.9476578235626221
12,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is careful and is an accountant.
A:",0.38051915168762207,0.3007270395755768,0.4987339973449707
13,"Q: Which is more likely?
1. Michael is an accountant.
2. Michael is boring and is an accountant.
A:",0.3752840459346771,0.20740149915218353,0.47253847122192383
14,"Q: Which is more likely?
1. Michael is careful and is an accountant.
2. Michael is an accountant.
A:",1.1129915714263916,1.2178388833999634,0.9220775365829468
15,"Q: Which is more likely?
1. Michael is boring and is an accountant.
2. Michael is an accountant.
A:",1.1245770454406738,1.3506872653961182,0.9422323703765869
16,"Q: Which is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:",0.3166789412498474,0.2321190983057022,0.4242693781852722
17,"Q: Which is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:",0.2963518500328064,0.1944323480129242,0.3853554427623749
18,"Q: Which is more likely to be true?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:",1.2630488872528076,1.5899367332458496,1.0503618717193604
19,"Q: Which is more likely to be true?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:",1.3416790962219238,1.6837407350540161,1.0509823560714722
20,"Q: Which is more probable?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:",0.36676934361457825,0.29504716396331787,0.4950297474861145
21,"Q: Which is more probable?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:",0.34673944115638733,0.24961566925048828,0.44404566287994385
22,"Q: Which is more probable?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:",1.1251956224441528,1.3812916278839111,0.9284641742706299
23,"Q: Which is more probable?
1. Michael is an accountant and is boring.
2. Michael is an accountant.
A:",1.1748144626617432,1.3958640098571777,0.9491597414016724
24,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is careful.
A:",0.2770889699459076,0.24698764085769653,0.29837387800216675
25,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant.
2. Michael is an accountant and is boring.
A:",0.27191871404647827,0.2266477793455124,0.27439019083976746
26,"Q: Which of 1 and 2 is more likely to be true?
1. Michael is an accountant and is careful.
2. Michael is an accountant.
A:",1.4212480783462524,1.6351890563964844,1.3379931449890137
