text,gpt2,gpt2-medium,gpt2-large
"Q: Is this a valid syllogism?
All men are ambitious.
All men study hard.
Therefore men study hard because they are ambitious.
A:",1.0634361505508423,0.7581584453582764,0.9790858626365662
"Q: Is this a valid syllogism?
All men are friendly.
All men smile.
Therefore men smile because they are friendly.
A:",0.9648047089576721,0.8156103491783142,0.8283478021621704
"Q: Is this a valid syllogism?
All men are angry.
All men frown.
Therefore men frown because they are angry.
A:",0.8603305816650391,0.7917859554290771,0.8693484663963318
"Q: Is this a valid syllogism?
All men are brave.
All men face their fears.
Therefore men face their fears because they are brave.
A:",1.0949627161026,0.5907825231552124,0.8781228065490723
"Q: Is this a valid syllogism?
All men are scared.
All men hide.
Therefore men hide because they are scared.
A:",0.9173571467399597,0.6229172348976135,0.7063567638397217
"Q: Is this a valid syllogism?
All men are smart.
All men have good ideas.
Therefore men have good ideas because they are smart.
A:",0.8848992586135864,0.48617222905158997,0.7375009059906006
"Q: Is this a valid syllogism?
All men are lazy.
All men do nothing.
Therefore men do nothing because they are lazy.
A:",0.7236508727073669,0.6372033357620239,0.679520308971405
"Q: Is this a valid syllogism?
All men are busy.
All men have no time.
Therefore men have no time because they are busy.
A:",0.8677459359169006,0.8055171966552734,0.7497991323471069
"Q: Is this a valid syllogism?
All men are in a rush.
All men late.
Therefore men late because they are in a rush.
A:",0.9319115877151489,0.8115073442459106,0.6555944085121155
"Q: Is this a valid syllogism?
All men are conscientious.
All men arrive on time.
Therefore men arrive on time because they are conscientious.
A:",0.8090841174125671,0.7028757333755493,0.7176013588905334
"Q: Is this a valid syllogism?
All women are ambitious.
All women study hard.
Therefore women study hard because they are ambitious.
A:",1.106020450592041,0.7471749782562256,1.0072758197784424
"Q: Is this a valid syllogism?
All women are friendly.
All women smile.
Therefore women smile because they are friendly.
A:",1.0180507898330688,0.8233000636100769,0.9321978092193604
"Q: Is this a valid syllogism?
All women are angry.
All women frown.
Therefore women frown because they are angry.
A:",0.8974361419677734,0.7729400396347046,0.9285350441932678
"Q: Is this a valid syllogism?
All women are brave.
All women face their fears.
Therefore women face their fears because they are brave.
A:",1.1497397422790527,0.5556797981262207,1.0306637287139893
"Q: Is this a valid syllogism?
All women are scared.
All women hide.
Therefore women hide because they are scared.
A:",0.9891424179077148,0.6421858072280884,0.8354704976081848
"Q: Is this a valid syllogism?
All women are smart.
All women have good ideas.
Therefore women have good ideas because they are smart.
A:",0.9340776205062866,0.5190827250480652,0.7998908758163452
"Q: Is this a valid syllogism?
All women are lazy.
All women do nothing.
Therefore women do nothing because they are lazy.
A:",0.7495223879814148,0.6393198370933533,0.7746961116790771
"Q: Is this a valid syllogism?
All women are busy.
All women have no time.
Therefore women have no time because they are busy.
A:",0.8987202644348145,0.8176541328430176,0.9005669951438904
"Q: Is this a valid syllogism?
All women are in a rush.
All women late.
Therefore women late because they are in a rush.
A:",0.9768908023834229,0.7674410343170166,0.8016767501831055
"Q: Is this a valid syllogism?
All women are conscientious.
All women arrive on time.
Therefore women arrive on time because they are conscientious.
A:",0.8739826679229736,0.7167187333106995,0.8304976224899292
"Q: Is this a valid syllogism?
All children are ambitious.
All children study hard.
Therefore children study hard because they are ambitious.
A:",1.1329056024551392,0.9543741941452026,1.0545947551727295
"Q: Is this a valid syllogism?
All children are friendly.
All children smile.
Therefore children smile because they are friendly.
A:",1.0483314990997314,1.1095459461212158,0.94107586145401
"Q: Is this a valid syllogism?
All children are angry.
All children frown.
Therefore children frown because they are angry.
A:",0.9063123464584351,1.0343222618103027,0.8662452697753906
"Q: Is this a valid syllogism?
All children are brave.
All children face their fears.
Therefore children face their fears because they are brave.
A:",1.1564855575561523,0.7237372994422913,0.9533417224884033
"Q: Is this a valid syllogism?
All children are scared.
All children hide.
Therefore children hide because they are scared.
A:",1.0180995464324951,0.9534080028533936,0.8388689160346985
"Q: Is this a valid syllogism?
All children are smart.
All children have good ideas.
Therefore children have good ideas because they are smart.
A:",0.9831247329711914,0.7011901140213013,0.7979882955551147
"Q: Is this a valid syllogism?
All children are lazy.
All children do nothing.
Therefore children do nothing because they are lazy.
A:",0.7621473073959351,0.8906906247138977,0.6986276507377625
"Q: Is this a valid syllogism?
All children are busy.
All children have no time.
Therefore children have no time because they are busy.
A:",0.9252569079399109,1.1094334125518799,0.8314977288246155
"Q: Is this a valid syllogism?
All children are in a rush.
All children late.
Therefore children late because they are in a rush.
A:",1.0035022497177124,1.1083905696868896,0.7405993938446045
"Q: Is this a valid syllogism?
All children are conscientious.
All children arrive on time.
Therefore children arrive on time because they are conscientious.
A:",0.8704394698143005,0.9023073315620422,0.7770034670829773
"Q: Is this a valid syllogism?
All teenagers are ambitious.
All teenagers study hard.
Therefore teenagers study hard because they are ambitious.
A:",1.114020586013794,0.98694908618927,0.9264437556266785
"Q: Is this a valid syllogism?
All teenagers are friendly.
All teenagers smile.
Therefore teenagers smile because they are friendly.
A:",1.0333588123321533,1.1212801933288574,0.8596550226211548
"Q: Is this a valid syllogism?
All teenagers are angry.
All teenagers frown.
Therefore teenagers frown because they are angry.
A:",0.8914825916290283,1.0369598865509033,0.7616479396820068
"Q: Is this a valid syllogism?
All teenagers are brave.
All teenagers face their fears.
Therefore teenagers face their fears because they are brave.
A:",1.1160304546356201,0.7496833801269531,0.9035548567771912
"Q: Is this a valid syllogism?
All teenagers are scared.
All teenagers hide.
Therefore teenagers hide because they are scared.
A:",0.9614931344985962,0.8795152306556702,0.8070003390312195
"Q: Is this a valid syllogism?
All teenagers are smart.
All teenagers have good ideas.
Therefore teenagers have good ideas because they are smart.
A:",0.9345686435699463,0.7397315502166748,0.715829610824585
"Q: Is this a valid syllogism?
All teenagers are lazy.
All teenagers do nothing.
Therefore teenagers do nothing because they are lazy.
A:",0.6991465091705322,0.7843062281608582,0.6606284379959106
"Q: Is this a valid syllogism?
All teenagers are busy.
All teenagers have no time.
Therefore teenagers have no time because they are busy.
A:",0.8951781392097473,1.0688085556030273,0.8509625196456909
"Q: Is this a valid syllogism?
All teenagers are in a rush.
All teenagers late.
Therefore teenagers late because they are in a rush.
A:",0.9339016675949097,1.1254194974899292,0.7646749019622803
"Q: Is this a valid syllogism?
All teenagers are conscientious.
All teenagers arrive on time.
Therefore teenagers arrive on time because they are conscientious.
A:",0.8620748519897461,0.935523271560669,0.7883929014205933
"Q: Is this a valid syllogism?
All adults are ambitious.
All adults study hard.
Therefore adults study hard because they are ambitious.
A:",1.1004533767700195,0.9096354246139526,1.0709757804870605
"Q: Is this a valid syllogism?
All adults are friendly.
All adults smile.
Therefore adults smile because they are friendly.
A:",0.967290461063385,1.0829668045043945,0.9306414127349854
"Q: Is this a valid syllogism?
All adults are angry.
All adults frown.
Therefore adults frown because they are angry.
A:",0.8286960124969482,0.9791852831840515,0.8302953243255615
"Q: Is this a valid syllogism?
All adults are brave.
All adults face their fears.
Therefore adults face their fears because they are brave.
A:",1.075221300125122,0.6949187517166138,0.8675733208656311
"Q: Is this a valid syllogism?
All adults are scared.
All adults hide.
Therefore adults hide because they are scared.
A:",0.9170090556144714,0.7977513670921326,0.7726098895072937
"Q: Is this a valid syllogism?
All adults are smart.
All adults have good ideas.
Therefore adults have good ideas because they are smart.
A:",0.8827860951423645,0.6855317950248718,0.7361778020858765
"Q: Is this a valid syllogism?
All adults are lazy.
All adults do nothing.
Therefore adults do nothing because they are lazy.
A:",0.652621328830719,0.8003205060958862,0.6919205784797668
"Q: Is this a valid syllogism?
All adults are busy.
All adults have no time.
Therefore adults have no time because they are busy.
A:",0.82246994972229,1.0225493907928467,0.8264670372009277
