index,loss,correct,pred
0,1.2357285022735596,1, 5
1,1.8336673974990845,0, 1
2,1.0474028587341309,1, 5
3,1.7499362230300903,0, 1
4,0.7356210947036743,1, 10
5,0.7904244661331177,1, 10
6,0.7238337397575378,1, 10
7,0.8618389964103699,1, 10
8,1.303247094154358,1, 20
9,1.4128680229187012,1, 20
10,1.0260876417160034,1, 20
11,1.3027455806732178,1, 20
12,2.5781240463256836,0, 1
13,4.094601154327393,0, 1
14,1.3059934377670288,1, 50
15,3.37300181388855,0, 1
16,3.8769524097442627,0, 1
17,4.564671993255615,0, 1
18,3.716604709625244,0, 1
19,4.177308082580566,0, 1
20,4.947137355804443,0, 5
21,4.863153457641602,0, 5
22,4.5515265464782715,0, 5
23,4.693338871002197,0, 5
24,5.206933975219727,0, 10
25,5.564899444580078,0, 10
26,5.066577434539795,0, 10
27,5.170347690582275,0, 10
28,6.865023136138916,0, 10
29,6.168859481811523,0, 20
30,6.010176181793213,0, 20
31,5.825202465057373,0, 20
32,6.712890625,0, 50
33,6.420646667480469,0, 50
34,9.463645935058594,0, 5
35,6.338153839111328,0, 50
36,9.68596076965332,0, 5
37,9.247758865356445,0, 5
38,9.090106010437012,0, 5
39,9.210556983947754,0, 5
40,0.7246358394622803,1, 5
41,0.5638057589530945,1, 5
42,0.6497380137443542,1, 5
43,0.5084714889526367,1, 5
44,0.3241942822933197,1, 10
45,0.20976239442825317,1, 10
46,0.3712923228740692,1, 10
47,0.2457648664712906,1, 10
48,0.8683549761772156,1, 20
49,0.556841254234314,1, 20
50,0.820081353187561,1, 20
51,0.5031862258911133,1, 20
52,0.8766913414001465,1, 50
53,0.666732907295227,1, 50
54,0.9318907260894775,1, 50
55,0.5969641208648682,1, 50
56,0.9058074355125427,1, 100
57,0.9206778407096863,1, 100
58,1.0485174655914307,1, 100
59,0.8150954246520996,1, 100
60,0.8345513939857483,1, 5
61,0.8090448379516602,1, 5
62,0.7070096731185913,1, 5
63,0.8290902376174927,1, 5
64,0.49980777502059937,1, 10
65,0.4933910667896271,1, 10
66,0.5410289764404297,1, 10
67,0.6062260866165161,1, 10
68,0.956855058670044,1, 20
69,0.9230599403381348,1, 20
70,0.7841883897781372,1, 20
71,0.8881911039352417,1, 20
72,0.9986162781715393,1, 50
73,1.2261711359024048,1, 50
74,1.0414345264434814,1, 50
75,1.1727992296218872,1, 50
76,2.7841312885284424,0, 1
77,3.3810462951660156,0, 1
78,2.9898645877838135,0, 1
79,3.612356662750244,0, 1
80,2.210218906402588,0, 2
81,2.0492639541625977,0, 5
82,2.1064839363098145,0, 5
83,2.2249341011047363,0, 5
84,3.2559823989868164,0, 10
85,3.082728862762451,0, 10
86,2.872640609741211,0, 10
87,2.8365795612335205,0, 10
88,6.1311540603637695,0, 2
89,4.487390518188477,0, 20
90,4.191911220550537,0, 20
91,4.195683002471924,0, 20
92,6.4787726402282715,0, 1
93,3.834190607070923,0, 50
94,6.561108589172363,0, 1
95,3.7993838787078857,0, 50
96,11.240671157836914,0, 1
97,10.6065034866333,0, 1
98,10.633081436157227,0, 1
99,10.467048645019531,0, 1
100,0.9034817218780518,1, 5
101,0.7584654092788696,1, 5
102,0.8106722831726074,1, 5
103,0.7282565832138062,1, 5
104,0.4510970711708069,1, 10
105,0.34513118863105774,1, 10
106,0.4694952964782715,1, 10
107,0.3628097176551819,1, 10
108,1.1500898599624634,1, 20
109,0.8013647198677063,1, 20
110,0.9375678300857544,1, 20
111,0.6996126770973206,1, 20
112,1.0177876949310303,1, 50
113,1.179100751876831,1, 50
114,1.0603868961334229,1, 50
115,1.0018885135650635,1, 50
116,1.219618320465088,1, 100
117,1.2442697286605835,1, 100
118,1.1960256099700928,1, 100
119,1.114457368850708,1, 100
120,1.6008334159851074,0, 1
121,1.1045054197311401,1, 5
122,1.188016653060913,1, 5
123,1.1109988689422607,1, 5
124,0.8289024829864502,1, 10
125,0.6100541949272156,1, 10
126,0.8417596220970154,1, 10
127,0.7216495275497437,1, 10
128,2.3574116230010986,0, 1
129,1.2706952095031738,1, 20
130,1.3746232986450195,1, 20
131,1.2533249855041504,1, 20
132,2.7893776893615723,0, 1
133,3.1414077281951904,0, 1
134,2.885556221008301,0, 1
135,2.938208818435669,0, 1
136,3.8719701766967773,0, 1
137,4.134138584136963,0, 1
138,4.022985935211182,0, 1
139,4.048891067504883,0, 1
140,1.1126080751419067,1, 5
141,0.9646670818328857,1, 5
142,1.0238779783248901,1, 5
143,0.960787296295166,1, 5
144,0.6434299349784851,1, 10
145,0.46730029582977295,1, 10
146,0.7061278820037842,1, 10
147,0.5397434830665588,1, 10
148,1.1903973817825317,1, 20
149,0.9196393489837646,1, 20
150,0.962982714176178,1, 20
151,0.8513250946998596,1, 20
152,1.179861307144165,1, 50
153,1.1995866298675537,1, 50
154,1.2155742645263672,1, 50
155,1.0762758255004883,1, 50
