index,logodds_difference,correct,total_logprob
0,0.940170407295227,1,-0.625693678855896
1,0.6944829225540161,0,-0.5676558911800385
2,0.9787195920944214,1,-0.5431678295135498
3,0.5083869099617004,0,-0.6794743835926056
4,0.2917822599411011,1,-1.0051588416099548
5,0.40649211406707764,0,-0.8089676797389984
6,0.3856889009475708,1,-1.2786965370178223
7,0.4749279022216797,0,-0.9265158772468567
8,0.09212672710418701,1,-0.9495611786842346
9,0.3659440279006958,0,-0.8667162656784058
10,0.07630157470703125,1,-0.9654029011726379
11,0.2287311553955078,1,-0.8892118334770203
12,-0.5140841007232666,0,-1.0391852259635925
13,0.4165288209915161,0,-0.8455883264541626
14,0.6147841215133667,1,-0.8285808712244034
15,0.5197316408157349,0,-0.7931213080883026
16,1.0268173217773438,1,-1.0815640091896057
17,-0.4787370562553406,0,-0.7890492379665375
18,0.0636521577835083,1,-0.8731341660022736
19,-0.2059037685394287,0,-0.8025444149971008
20,-0.2545574903488159,1,-1.0514240562915802
21,-0.3498039245605469,0,-0.7027690410614014
22,0.633653998374939,1,-1.3453121185302734
23,0.423980712890625,1,-0.7908214926719666
24,0.2834494113922119,1,-1.115316927433014
25,0.73076331615448,0,-1.336544692516327
26,0.2334507703781128,1,-1.0263778865337372
27,0.5130003690719604,0,-0.9726756811141968
28,-0.19904303550720215,0,-1.017848253250122
29,0.4903430938720703,1,-0.8811338841915131
30,-0.00164031982421875,1,-0.8976228535175323
31,0.4349938631057739,0,-0.7568766474723816
32,0.4134575128555298,1,-0.8103203177452087
33,0.1372619867324829,1,-0.9395675659179688
34,0.5580376386642456,1,-0.7757972925901413
35,-0.3999670743942261,0,-0.6949893534183502
36,-0.5947359800338745,0,-1.4045644402503967
37,0.5481719970703125,1,-1.1227265298366547
38,0.2081737518310547,1,-1.071003019809723
39,-0.16392219066619873,0,-0.975164532661438
