,prompt,classes,answer_index
0,"Q: I rolled a a fair 6-sided die 3 times, and none of those rolls were 1. Am I more likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",1
1,"Q: I rolled a a fair 6-sided die 3 times, and none of those rolls were 1. Am I less likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",1
2,"Q: I rolled a a fair 6-sided die 3 times, and none of those rolls were 1. Am I equally likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",0
3,"Q: I rolled a a fair 6-sided die 5 times, and none of those rolls were 1. Am I more likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",1
4,"Q: I rolled a a fair 6-sided die 5 times, and none of those rolls were 1. Am I less likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",1
5,"Q: I rolled a a fair 6-sided die 5 times, and none of those rolls were 1. Am I equally likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",0
6,"Q: I rolled a a fair 6-sided die 10 times, and none of those rolls were 1. Am I more likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",1
7,"Q: I rolled a a fair 6-sided die 10 times, and none of those rolls were 1. Am I less likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",1
8,"Q: I rolled a a fair 6-sided die 10 times, and none of those rolls were 1. Am I equally likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",0
9,"Q: I rolled a a fair 6-sided die 25 times, and none of those rolls were 1. Am I more likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",1
10,"Q: I rolled a a fair 6-sided die 25 times, and none of those rolls were 1. Am I less likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",1
11,"Q: I rolled a a fair 6-sided die 25 times, and none of those rolls were 1. Am I equally likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",0
12,"Q: I rolled a a fair 6-sided die 50 times, and none of those rolls were 1. Am I more likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",1
13,"Q: I rolled a a fair 6-sided die 50 times, and none of those rolls were 1. Am I less likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",1
14,"Q: I rolled a a fair 6-sided die 50 times, and none of those rolls were 1. Am I equally likely to finally roll a 1 on the next roll?
A:","[' Yes', ' No']",0
